,epsilons
431,0.9613813164890724
432,0.9612936921449954
433,0.9612060758713161
434,0.9611184676672914
435,0.9610308675321778
436,0.9609432754652325
437,0.9608556914657119
438,0.9607681155328736
439,0.9606805476659741
440,0.9605929878642708
441,0.9605054361270208
442,0.9604178924534813
443,0.9603303568429096
444,0.9602428292945632
445,0.9601553098076995
446,0.960067798381576
447,0.9599802950154502
448,0.95989279970858
449,0.9598053124602229
450,0.9597178332696368
451,0.9596303621360796
452,0.959542899058809
453,0.9594554440370833
454,0.9593679970701602
455,0.9592805581572983
456,0.9591931272977554
457,0.9591057044907901
458,0.9590182897356604
459,0.958930883031625
460,0.9588434843779422
461,0.9587560937738706
